"ipipe","ipipa","ipipc","ipipn","ipipo","bitter","salty","sour","spicey","sweet","filter_.","gender"
3.8,3.7,2.4,3.2,3.2,3.8,4.1,3,2.3,3.88888888888889,1,1
3.5,4.7,3.5,3.2,4.3,3.9,3.2,4.5,2,4.5,1,1
4.2,4.5,3.7,3,4.7,5,5.5,4.8,5.5,4.1,1,1
3.8,3.5,4,2.4,3.8,4.7,5.2,5.1,5.8,4,0,2
3.8,4.5,3.6,2.8,4.7,3.1,4,3.3,3,4.4,1,1
3.3,4.9,3.8,4.2,4,3.9,4.4,4.3,3.8,5.2,1,1
2.9,4.5,2.5,3.7,3.1,3.5,3.9,2.8,4.5,4.4,1,1
3.22222222222222,3.6,3.1,4.4,3.7,3.1,4.7,3.7,3.8,3.2,0,1
4.1,4.7,2.9,1.5,3.6,3.2,4.4,3.3,1.6,4.8,1,1
3.4,4.1,4.5,2.5,3.5,2.3,3.2,3,2.6,3.4,1,2
3.8,4.1,3.5,3.8,4.2,3.3,3,2.7,2.6,4.4,1,1
3,4.7,2.9,3.1,3.9,4.1,4.4,3.8,5.7,4.9,0,2
4.11111111111111,4,4.6,3.5,4,3.6,3.7,2.8,1.5,4,1,2
2.1,3.7,3.5,2,3.6,2.8,3.1,3.3,3.5,4.5,1,1
2.9,4.4,2.6,3,3.9,3.7,3.8,3.5,5.5,3.3,1,2
4.2,4.1,3.4,1.6,3.7,3.1,2.8,4.5,2.2,4.4,1,1
4.5,4.2,3.7,2.4,4.4,2.9,3.5,2.9,1,5.3,1,1
3.5,4,3.2,2.1,3.2,1.7,3,3,2.2,4.4,1,1
2.5,2.6,2.2,2.7,2.5,2.7,2.2,2.7,1.8,3.6,0,1
3.7,4.9,3,1.7,3.4,2.4,3.2,3.1,1.8,4.6,1,1
4,4.5,4.1,2.6,4,3,3,3.6,2,5.2,1,1
3.1,3.9,3.5,2.7,3.6,2.8,3.7,3,2.4,3.2,1,2
2.1,4.5,3.8,2.6,4.1,1.9,2.2,2.3,3.1,4.3,1,1
3.4,3.6,3.9,3.8,4.1,1.5,4,2.1,1,3.3,1,2
2.9,2.6,1.8,4.3,2.2,3,3.1,3.3,2.3,3.7,1,1
